PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	FAZEKAS de ST. GROTH, S.								Studies in experimental immunology of influenza. I. The state of virus receptors and inhibitors in the respiratory tract								AUSTRALIAN JOUR EXPTL BIOL AND MED SCI				28	(1)			15	29						1950	1950	In mice exptlly. infected with influenza virus the number of available virus-receptors in the respiratory tract drops during the acute phase of the disease. Measurable receptor destruction starts at the time when virus concn. in the lungs has attained its maximum; its extent is proportional to the size of the infective dose. Coinciding with the appearance of specific antibody and the decrease in the virus content of the lungs, regeneration of receptors is demonstrable. Evidence is furnished that this regeneration starts earlier but is partly masked by the presence of enzymically active virus capable of maintaining a dynamic equilibrium between destruction and regeneration of receptors. The mucoid inhibitor for heated Lee virus normally present in the respiratory tract, disappears within 48 hrs. after infection and does not reappear until the 6th day. During the early stages of recovery (8th-20th day) the amt. of inhibitor in bronchial washings is approx. 10 times more than in normal mice. Admn. of large doses of killed virus vaccines (nasally, peritoneally or subcut.), or of live virus by routes other than the nasal, does not cause any change in the number of available receptors or the inhibitor content of the respiratory tract. The mechanism of infection by and resistance to influenza viruses is discussed in the light of the findings, and the conclusion is reached that the changes described are insufficient to cause any difference in the host's susceptibility to super-or re-infection. || ABSTRACT AUTHORS: Auth. summ																					BCI:BCI19502400036750	15420097	
J	Chen, Ming-Wei; Liao, Hsin-Yu; Huang, Yaoxing; Jan, Jia-Tsrong; Huang, Chih-Cheng; Ren, Chien-Tai; Wu, Chung-Yi; Cheng, Ting-Jen Rachel; Ho, David D.; Wong, Chi-Huey								Broadly neutralizing DNA vaccine with specific mutation alters the antigenicity and sugar-binding activities of influenza hemagglutinin								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				108	9			3510	3515		10.1073/pnas.1019744108				MAR 1 2011	2011	The rapid genetic drift of influenza virus hemagglutinin is an obstacle to vaccine efficacy. Previously, we found that the consensus hemagglutinin DNA vaccine (pCHA5) can only elicit moderate neutralization activities toward the H5N1 clade 2.1 and clade 2.3 viruses. Two approaches were thus taken to improve the protection broadness of CHA5. The first one was to include certain surface amino acids that are characteristic of clade 2.3 viruses to improve the protection profiles. When we immunized mice with CHA5 harboring individual mutations, the antibodies elicited by CHA5 containing P157S elicited higher neutralizing activity against the clade 2.3 viruses. Likewise, the viruses pseudotyped with hemagglutinin containing 157S became more susceptible to neutralization. The second approach was to update the consensus sequence with more recent H5N1 strains, generating a second-generation DNA vaccine pCHA5II. We showed that pCHA5II was able to elicit higher cross-neutralization activities against all H5N1 viruses. Comparison of the neutralization profiles of CHA5 and CHA5II, and the animal challenge studies, revealed that CHA5II induced the broadest protection profile. We concluded that CHA5II combined with electroporation delivery is a promising strategy to induce antibodies with broad cross-reactivities against divergent H5N1 influenza viruses.																					WOS:000287844400017	21321237	
J	Jacoby, R. O.; Bhatt, P. N.; Jonas, A. M.						H. J. Baker, J. R. Lindsey; S. H. Weisbroth		Viral diseases [of rats].								The laboratory rat. Volume 1. Biology and diseases								271	306						1979	1979	Although humoral antibodies to many viruses have been found in rats, not many viruses are known to be naturally infective for laboratory rats. This paper, therefore, is concerned mainly with rat parvoviruses, rat coronaviruses and Sendai virus; oncogenic viruses of rats are not discussed. Although rats are not commonly used for virological investigations, a short section deals with examples of experimental infections. The section on detection, diagnosis and control of virus infections in rat colonies is especially valuable.																					CABI:19802256727		
J	Sanin, A. V.; Suslov, A. P.; Trelyakov, O. Yu.; Zvartsev, R. V.; Salichev, A. V.; Kozhevnikova, T. N.; Sanina, V. Yu.; Smirnova, E. G.; Ozherelkov, S. V.								MULTIDIRECTIONAL EFFECT OF MIF AND SODIUM POLYPRENYL PHOSPHATE ON THE COURSE OF EXPERIMENTAL FLAVIVIRUS INFECTION IN MICE								Zhurnal Mikrobiologii Epidemiologii i Immunobiologii					5			56	61						SEP-OCT 2011	2011	Aim. Study of macrophage migration inhibiting factor (MIF) effect after intracerebral administration on the course of experimental infection induced in mice by tick borne encephalitis virus (TEV), and study of sodium polyprenyl phosphate (PPP) and/or antibodies against M IF on the course of this infection against the background of MIF administration. Materials and methods. Phosprenil preparation was used as. a source of PPP. PPP was administered intracerebrally. MIF human recombinant (R&D, USA), mice - Balb/c line. Results.. In the sera of mice infected with TEV, M IF production stimulation was detected at days 8 through 10 after the infection - against the background of clinical signs presentation of tick borne encephalitis (TE). Administration of PPP to infected mice, on the contrary, resulted in M IF production suppression at the specified period. After administration of 20 ng of MIF to mice, lethality increased by 40% and average life span decreased by 2.3 days. Thus, MIF at high doses caused an increase of infection course severity, induced by ITV in mice, and administration of 60 mu g of PPP resulted in the protection from infection in 100% of cases. Intracerebral administration to mice of antibodies against MIF resulted in a decrease of lethality indicator up to 26% as compared with control and an increase of average life span by 5.5 days. During simultaneous administration into the brain of infected mice of MIF, PPP and antibodies against M IF, prevention of M IF-induced increase of TE course severity was registered. Conclusion. The data obtained allow to conclude that MIF may serve as an indicator of TE course severity, and possible prognostic indicator of meningo-encephalitic form development in humans.																					BCI:BCI201100740073	22145351	
J	Harris, WH; Duval, CW								Studies upon the etiology of dengue fever. I. Experimental transmission to the lower animal.								JOURNAL OF EXPERIMENTAL MEDICINE				40	6			817	833		10.1084/jem.40.6.817				DEC 1924	1924																						WOS:000201923000009	19868961	
J	Shortridge, KF; Zhou, NN; Guan, Y; Gao, P; Ito, T; Kawaoka, Y; Kodihalli, S; Krauss, S; Markwell, D; Murti, KG; Norwood, M; Senne, D; Sims, L; Takada, A; Webster, RG								Characterization of avian H5N1 influenza viruses from poultry in Hong Kong								VIROLOGY				252	2			331	342		10.1006/viro.1998.9488				DEC 20 1998	1998	The transmission of avian H5N1 influenza viruses to 18 humans in Hong Kong in 1997 with six deaths established that avian influenza viruses can transmit to and cause lethal infection in humans. This report characterizes the antigenic and biological properties of the H5N1 influenza viruses isolated from chickens, ducks, and geese from farms and poultry markets in Hong Kong during 1997 and compares them with those of virus isolated from the index human case. Each of the H5N1 viruses from Hong Kong poultry markets that were tested were lethal in chickens, possessed polybasic amino acids at the carboxy-terminus of HAI, and by definition were highly pathogenic in poultry. The available nonpathogenic H5 influenza viruses and the pathogenic H5N1 virus from Hong Kong were analyzed with monoclonal antibodies prepared to A/chicken/Pennsylvania/1370/83 (H5N2). The analysis revealed limited antigenic drift in 15 years and established that monoclonal antibodies are useful reagents for identification and antigenic analysis of avian strains that may transmit to humans in the future. One of the monoclonal antibodies permitted separation of the H5N1 influenza viruses from poultry into two groups that correlated with the presence or absence of a carbohydrate at residue 158 adjacent to the receptor binding site on HA. The H5N1 viruses examined replicated in geese, pigs, rats, and mice, but to only a very limited extent in ducks. It is noteworthy that all infected geese shed virus and that the H5N1 viruses caused disease signs and death in a portion (3 of 16) of the geese, with evidence of systemic spread to the brain. The tropism for geese is unusual and may provide insight into the origin of these viruses. In mice, the H5N1 virus caused lethal pneumonia and spread systemically to the brain. Mice would thus provide an ideal model system for studying immune responses and pathogenesis. Transmission experiments in chickens revealed that the H5N1 viruses are spread by fecal-oral transmission rather than by aerosol, and that the viruses are inactivated by drying of feces at ambient temperature. However, infectivity is maintained for at least 4 days in wet feces at 25 degrees C. There were differences in the morphology of the H5N1 viruses isolated from birds and humans. The perpetuation of H5N1 influenza viruses in the poultry markets in Hong Kong and the transmission of these viruses to humans emphasize the importance of these markets in the epidemiology of influenza. The poultry markets are of critical importance in the perpetuation and transmission of influenza viruses to other avian species and to mammals, including humans. (C) 1998 Academic Press.																					WOS:000077739200006	9878612	
J	MALKOVA, D; KOLMAN, JM								ROLE OF BONE MARROW IN MULTIPLICATION OF TICK-BORNE ENCEPHALITIS VIRUS IN EARLY VIRAEMIC PHASE IN EXPERIMENTALLY INFECTED MICE								ACTA VIROLOGICA				10	2			131	&						1966	1966																						WOS:A19667452800007	4380457	
J	SPRADBROW, PB; FRANCIS, J								OBSERVATIONS ON BOVINE EPHEMERAL FEVER AND ISOLATION OF VIRUS								AUSTRALIAN VETERINARY JOURNAL				45	11			525	+		10.1111/j.1751-0813.1969.tb07883.x				1969	1969																						WOS:A1969E556100007	5393088	
J	Silva Gomes, Juliana Assis; de Araujo, Fernanda Fortes; Trindade, Giliane de Souza; Quinan, Barbara Resende; Drumond, Betania Paiva; Siqueira Ferreira, Jaqueline Maria; Fernandes Mota, Bruno Eduardo; Nogueira, Mauricio Lacerda; Kroon, Erna Geessien; Abrahao, Jonatas Santos; Correa-Oliveira, Rodrigo; da Fonseca, Flavio Guimaraes								Immune Modulation in Primary Vaccinia virus Zoonotic Human Infections								CLINICAL & DEVELOPMENTAL IMMUNOLOGY										974067	10.1155/2012/974067				2012	2012	In 2010, the WHO celebrated the 30th anniversary of the smallpox eradication. Ironically, infections caused by viruses related to smallpox are being increasingly reported worldwide, including Monkeypox, Cowpox, and Vaccinia virus (VACV). Little is known about the human immunological responses elicited during acute infections caused by orthopoxviruses. We have followed VACV zoonotic outbreaks taking place in Brazil and analyzed cellular immune responses in patients acutely infected by VACV. Results indicated that these patients show a biased immune modulation when compared to noninfected controls. Amounts of B cells are low and less activated in infected patients. Although present, T CD4(+) cells are also less activated when compared to noninfected individuals, and so are monocytes/macrophages. Similar results were obtained when Balb/C mice were experimentally infected with a VACV sample isolated during the zoonotic outbreaks. Taking together, the data suggest that zoonotic VACVs modulate specific immune cell compartments during an acute infection in humans.																					WOS:000298820300001	22229039	
J	Sherer, Morgan L.; Khanal, Pragyan; Talham, Gwen; Brannick, Erin M.; Parcells, Mark S.; Schwarz, Jaclyn M.								Zika virus infection of pregnant rats and associated neurological consequences in the offspring								PLOS ONE				14	6					e0218539	10.1371/journal.pone.0218539				JUN 20 2019	2019	Zika virus (ZIKV) is a mosquito-borne flavivirus associated with microcephaly and other neurological disorders in infants born to infected mothers. Despite being declared an international emergency by the World Health Organization, very little is known about the mechanisms of ZIKV pathogenesis or the long-term consequences of maternal ZIKV infection in the affected offspring, largely due to the lack of appropriate rodent models. To address this issue, our lab has developed a working model of prenatal ZIKV infection in rats. In this study, we infected immune competent pregnant female rats with 10(5)-10(7) PFU of ZIKV (PRVABC59, Puerto Rico/Human/Dec 2015) in order to examine its pathogenesis in the dams and pups. We examined the febrile response and sickness behavior in the dams, in addition to neonatal mortality, microglia morphology, cortical organization, apoptosis, and brain region-specific volumes in the offspring. Here, we demonstrate that pregnant and non-pregnant female rats have a distinct febrile response to ZIKV infection. Moreover, prenatal ZIKV infection increased cell death and reduced tissue volume in the hippocampus and cortex in the neonatal offspring. For the first time, we demonstrate the efficacy and validity of an immunocompetent rat model for maternal ZIKV infection that results in significant brain malformations in the neonatal offspring.																					WOS:000484893500061	31220154	
