PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	KERN, ER; RICHARDS, JT; OVERALL, JC								ACYCLOVIR TREATMENT OF DISSEMINATED HERPES-SIMPLEX VIRUS TYPE-2 INFECTION IN WEANLING MICE - ALTERATION OF MORTALITY AND PATHOGENESIS								ANTIVIRAL RESEARCH				6	4			189	195		10.1016/0166-3542(86)90001-X				JUL 1986	1986																						WOS:A1986D035800001	2427021	
J	Williams, Teresa C.; Jackson, David J.; Maltby, Steven; Walton, Ross P.; Ching, Yee-Mann; Glanville, Nicholas; Singanayagam, Aran; Brewins, Jennifer J.; Clarke, Deborah; Hirsman, Aurica G.; Loo, Su-Ling; Wei, Lan; Beale, Janine E.; Casolari, Paolo; Caramori, Gaetano; Papi, Alberto; Belvisi, Maria; Wark, Peter A. B.; Johnston, Sebastian L.; Edwards, Michael R.; Bartlett, Nathan W.								Rhinovirus-induced CCL17 and CCL22 in Asthma Exacerbations and Differential Regulation by STAT6								AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY				64	3			344	356		10.1165/rcmb.2020-0011OC				MAR 2021	2021	The interplay of type-2 inflammation and antiviral immunity underpins asthma exacerbation pathogenesis. Virus infection induces type-2 inflammation-promoting chemokines CCL17 and CCL22 in asthma; however, mechanisms regulating induction are poorly understood. By using a human rhinovirus (RV) challenge model in human airway epithelial cells in vitro and mice in vivo, we assessed mechanisms regulating CCL17 and CCL22 expression. Subjects with mild to moderate asthma and healthy volunteers were experimentally infected with RV and airway CCL17 and CCL22 protein quantified. In vitro airway epithelial cell- and mouse-RV infection models were then used to define STAT6- and NF-kBmediated regulation of CCL17 and CCL22 expression. Following RV infection, CCL17 and CCL22 expression was higher in asthma, which differentially correlated with clinical and immunological parameters. Air-liquid interface-differentiated primary epithelial cells from donors with asthma also expressed higher levels of RV-induced CCL22. RV infection boosted type-2 cytokine-induced STAT6 activation. In epithelial cells, type-2 cytokines and STAT6 activation had differential effects on chemokine expression, increasing CCL17 and suppressing CCL22, whereas NF-kappa B promoted expression of both chemokines. In mice, RV infection activated pulmonary STAT6, which was required for CCL17 but not CCL22 expression. STAT6-knockout mice infected with RV expressed increased levels of NF-kappa B-regulated chemokines, which was associated with rapid viral clearance. Therefore, RV-induced upregulation of CCL17 and CCL22 was mediated by NF-kappa B activation, whereas expression was differentially regulated by STAT6. Together, these findings suggest that therapeutic targeting of type-2 STAT6 activation alone will not block all inflammatory pathways during RV infection in asthma.																					WOS:000624610600010	33264064	
J	Haist, Kelsey C.; Carpentier, Kathryn S.; Davenport, Bennett J.; Morrison, Thomas E.								Plasmacytoid Dendritic Cells Mediate Control of Ross River Virus Infection via a Type I Interferon-Dependent, MAVS-Independent Mechanism								JOURNAL OF VIROLOGY				95	6					e01538-20	10.1128/JVI.01538-20				MAR 2021	2021	Ross River virus (RRV) is a mosquito-borne alphavirus that causes epidemics of debilitating musculoskeletal disease. To define the innate immune mechanisms that mediate control of RRV infection, we studied a RRV strain encoding 6 nonsynonymous mutations in nsP1 (RRV-T48-nsP1(6M)) that is attenuated in wild-type (WT) mice and Rag1(-/-) mice, which are unable to mount adaptive immune responses, but not in mice that lack the capacity to respond to type I interferon (IFN) (Ifnar1(-/-) mice). Utilizing this attenuated strain, our prior studies revealed that mitochondrial antiviral signaling (MAVS)-dependent production of type I IFN by Ly6C(hi) monocytes is critical for control of acute RRV infection. Here, we infected Mavs(-/-) mice with either WT RRV or RRV-T48-nsP1(6M) to elucidate MAVS-independent protective mechanisms. Mavs-/mice infected with WT RRV developed severe disease and succumbed to infection, whereas those infected with RRV-T48-nsP1(6M) exhibited minimal disease signs. Mavs(-/-) mice infected with RRV-T48-nsP1(6M) had higher levels of systemic type I IFN than Mavs(-/-) mice infected with WT virus, and treatment of Mavs-/mice infected with the attenuated nsP1 mutant virus with an IFNAR1-blocking antibody resulted in a lethal infection. In vitro, type I IFN expression was induced in plasmacytoid dendritic cells (pDCs) cocultured with RRV-infected cells in a MAVS-independent manner, and depletion of pDCs in Mavs(-/-) mice resulted in increased viral burdens in joint and muscle tissues, suggesting that pDCs are a source of the protective IFN in Mavs(-/-) mice. These data suggest that pDC production of type I IFN through a MAVS-independent pathway contributes to control of RRV infection.IMPORTANCE Arthritogenic alphaviruses, including Ross River virus (RRV), are human pathogens that cause debilitating acute and chronic musculoskeletal disease and are a significant public health burden. Using an attenuated RRV with enhanced susceptibility to host innate immune responses has revealed key cellular and molecular mechanisms that can mediate control of attenuated RRV infection and that are evaded by more virulent RRV strains. In this study, we found that pDCs contribute to the protective type I interferon response during RRV infection through a mechanism that is independent of the mitochondrial antiviral signaling (MAVS) adaptor protein. These findings highlight a key innate immune mechanism that contributes to control of alphavirus infections.																					WOS:000623419300010	33361425	
J	YAGAMI, K; HIRAI, K; HIRANO, N								PATHOGENESIS OF HEMAGGLUTINATING ENCEPHALOMYELITIS VIRUS (HEV) IN MICE EXPERIMENTALLY INFECTED BY DIFFERENT ROUTES								JOURNAL OF COMPARATIVE PATHOLOGY				96	6			645	657		10.1016/0021-9975(86)90061-7				NOV 1986	1986																						WOS:A1986F176300005	3546411	
J	ALEXANDER, R; SVRCEK, S; VRTIAK, OJ; ONDREJKA, R; BENISEK, Z; ZAVADOVA, J								THE PATHOGENESIS OF EXPERIMENTAL RABIES INFECTION OF FOX AND CAT BY VIRUSES ISOLATED FROM HAMSTER (CRICETUS-CRICETUS)								VETERINARNI MEDICINA				26	4			233	246						1981	1981																						WOS:A1981LT15100005	6791357	
J	Moser, JA; Farrell, ML; Krug, LT; Upton, JW; Speck, SH								A gammaherpesvirus 68 gene 50 null mutant establishes long-term latency in the lung but fails to vaccinate against a wild-type virus challenge								JOURNAL OF VIROLOGY				80	3			1592	1598		10.1128/JVI.80.3.1592-1598.2006				FEB 2006	2006	The gammaherpesvirus immediate-early genes are critical regulators of virus replication and reactivation from latency. Rta, encoded by gene 50, serves as the major transactivator of the lytic program and is highly conserved among all the gammaherpesviruses, including Epstein-Barr virus, Kaposi's sarcoma-associated herpesvirus, and murine gammaherpesvirus 68 (gamma HV68). Introduction of a translation stop codon in gamma HV68 gene 50 (gene 50.stop gamma HV68) demonstrated that Rta is essential for virus replication in vitro. To investigate the role that virus replication plays in the establishment and maintenance of latency, we infected mice with gene 50.stop gamma HV68. Notably, the gene 50.stop virus established a long-term infection in lung B cells following intranasal infection of mice but was unable to establish latency in the spleen. This complete block in the establishment of latency in the spleen was also seen when lytic virus production was inhibited by treating mice infected with wild-type virus with the antiviral drug cidofovir, implicating virus replication and not an independent function of Rta in the establishment of splenic latency. Furthermore, we showed that gene 50.stop gamma HV68 was unable to prime the immune system and was unable to protect against a challenge with wild-type gamma RV68, despite its ability to chronically infect lung B cells. These data indicate gammaherpesviruses that are unable to undergo lytic replication in vivo may not be viable vaccine candidates despite the detection of cells harboring viral genome at late times postinfection.																					WOS:000234871400052	16415035	
J	Jung, Bock-Gie; Toan, Nguyen Tat; Cho, Sun-Ju; Ko, Jae-hyung; Jung, Yeon-Kwon; Lee, Bong-Joo								Dietary aluminosilicate supplement enhances immune activity in mice and reinforces clearance of porcine circovirus type 2 in experimentally infected pigs								VETERINARY MICROBIOLOGY				143	2-4			117	125		10.1016/j.vetmic.2009.11.009				JUL 14 2010	2010	Aluminosilicate is the major component of clay minerals such as zeolite, bentonite and clinoptilolite. The minerals possess a number of beneficial activities, especially in regulating the immune system. The aims of the present study were to evaluate immune enhancing effects of dietary aluminosilicate supplement (DAS) in mice, and to demonstrate clearance effects of DAS against porcine circovirus type 2 (PCV2) in experimentally infected pigs as an initial step towards the development of an antibiotic substitute for use in pigs. Relative messenger RNA expression levels of interferon-gamma, interleukin-4 and tumor necrosis factor-alpha, phagocytic activities of polymorphonuclear leucocytes, serum antibody production level and spleen B cell ratio were significantly increased in the DAS groups of mice compared with the control group (each feeding group had three replications with 5 mice each). The results indicated that general immune activity including cellular and humoral immunity could be enhanced by DAS in mice. In experimentally PCV2-infected pigs, the load of viral genome in nasal swab, serum and lung of the DAS group of pigs was significantly decreased compared with the control group at 28 days post-infection (each group three pigs). Corresponding histopathological analyses demonstrated that pigs in the DAS group displayed mild and less severe abnormal changes compared with the control group, indicating that DAS reinforces clearance of PCV2 in experimentally infected pigs. This may relate to general immune enhancing effects of DAS in mice. Therefore DAS will help the health of animal, especially in swine. (C) 2009 Elsevier B.V. All rights reserved.																					WOS:000279124500003	20022715	
J	Kawiecki, Anna B.; Mayton, E. Handly; Dutuze, M. Fausta; Goupil, Brad A.; Langohr, Ingeborg M.; Del Piero, Fabio; Christofferson, Rebecca C.								Tissue tropisms, infection kinetics, histologic lesions, and antibody response of the MR766 strain of Zika virus in a murine model								VIROLOGY JOURNAL				14						82	10.1186/s12985-017-0749-x				APR 18 2017	2017	Background: The appearance of severe Zika virus (ZIKV) disease in the most recent outbreak has prompted researchers to respond through the development of tools to quickly characterize transmission and pathology. We describe here another such tool, a mouse model of ZIKV infection and pathogenesis using the MR766 strain of virus that adds to the growing body of knowledge regarding ZIKV kinetics in small animal models.Methods: We infected mice with the MR766 strain of ZIKV to determine infection kinetics via serum viremia. We further evaluated infection-induced lesions via histopathology and visualized viral antigen via immunohistochemical labeling. We also investigated the antibody response of recovered animals to both the MR766 and a strain from the current outbreak (PRVABC59).Results: We demonstrate that the IRF3/7 DKO mouse is a susceptible, mostly non-lethal model well suited for the study of infection kinetics, pathological progression, and antibody response. Infected mice presented lesions in tissues that have been associated with ZIKV infection in the human population, such as the eyes, male gonads, and central nervous system. In addition, we demonstrate that infection with the MR766 strain produces cross-neutralizing antibodies to the PRVABC59 strain of the Asian lineage.Conclusions: This model provides an additional tool for future studies into the transmission routes of ZIKV, as well as for the development of antivirals and other therapeutics, and should be included in the growing list of available tools for investigations of ZIKV infection and pathogenesis.																					WOS:000399464200002	28420392	
J	Mangold, Colleen A.; Yao, Pamela J.; Du, Mei; Freeman, Willard M.; Benkovic, Stephen J.; Szpara, Moriah L.								Expression of the purine biosynthetic enzyme phosphoribosyl formylglycinamidine synthase in neurons								JOURNAL OF NEUROCHEMISTRY				144	6			723	735		10.1111/jnc.14304				MAR 2018	2018	Purines are metabolic building blocks essential for all living organisms on earth. De novo purine biosynthesis occurs in the brain and appears to play important roles in neural development. Phosphoribosyl formylglycinamidine synthase (FGAMS, also known as PFAS or FGARAT), a core enzyme involved in the de novo synthesis of purines, may play alternative roles in viral pathogenesis. To date, no thorough investigation of the endogenous expression and localization of de novo purine biosynthetic enzymes has been conducted in human neurons or in virally infected cells. In this study, we characterized expression of FGAMS using multiple neuronal models. In differentiated human SH-SY5Y neuroblastoma cells, primary rat hippocampal neurons, and in whole-mouse brain sections, FGAMS immunoreactivity was distributed within the neuronal cytoplasm. FGAMS immunolabeling invitro demonstrated extensive distribution throughout neuronal processes. To investigate potential changes in FGAMS expression and localization following viral infection, we infected cells with the human pathogen herpes simplex virus 1. In infected fibroblasts, FGAMS immunolabeling shifted from a diffuse cytoplasmic location to a mainly perinuclear localization by 12h post-infection. In contrast, in infected neurons, FGAMS localization showed no discernable changes in the localization of FGAMS immunoreactivity. There were no changes in total FGAMS protein levels in either cell type. Together, these data provide insight into potential purine biosynthetic mechanisms utilized within neurons during homeostasis as well as viral infection.																					WOS:000430007600004	29337348	
J	HIRASAWA, T; HIRANO, N; OHHARA, S; MIKAZUKI, K; HAYASHI, Y								CHARACTERIZATION OF LOW-VIRULENT MOUSE CORONAVIRUS ISOLATED FROM FECES IN A MOUSE COLONY								JOURNAL OF VETERINARY MEDICINE SERIES B-INFECTIOUS DISEASES AND VETERINARY PUBLIC HEALTH				35	6			435	442		10.1111/j.1439-0450.1988.tb00517.x				JUL 1988	1988																						WOS:A1988P967700007	2847448	
